dist_no,district_name,average_salary_23-24,impact_measure,impact_value
325,LESLIE ,54677.19,School Leadership,83
331,LETCHER ,57800.19,School Leadership,73
335,LEWIS ,55279.72,School Leadership,69
341,LINLN ,55023.11,School Leadership,68
345,LIVINGSTON ,60098.16,School Leadership,60
351,LOGAN ,54721.49,School Leadership,76
354,LUDLOW,66556.19,School Leadership,72
361,LYON ,60145.27,School Leadership,68
365,MADISON ,59636.48,School Leadership,71
371,MAGOFFIN ,54306.53,School Leadership,66
375,MARION ,63777.07,School Leadership,78
381,MARSHALL ,62783.46,School Leadership,70
385,MARTIN ,56109.37,School Leadership,85
391,MASON ,60133.37,School Leadership,57
392,MAYFIELD,59814.52,School Leadership,63
395,MCCRACKEN ,62949.79,School Leadership,63
401,MCCREARY ,54436.76,School Leadership,58
405,MCLEAN ,56281.21,School Leadership,77
411,MEADE ,61642.99,School Leadership,74
415,MENIFEE ,55723.46,School Leadership,49
421,MERCER ,62402.03,School Leadership,61
425,METCALFE ,57669.62,School Leadership,47
426,MIDDLESBORO,56036.44,School Leadership,50
431,MONROE ,58535.98,School Leadership,84
435,MONTGOMERY ,56357.44,School Leadership,74
441,MORGAN ,56060.32,School Leadership,85
445,MUHLENBERG ,59076.82,School Leadership,64
446,MURRAY,60985.54,School Leadership,80
451,NELSON ,61028.7,School Leadership,70
452,NEWPORT,64794.17,School Leadership,54
455,NICHOLAS ,53656.16,School Leadership,67
461,OHIO ,57231.55,School Leadership,66
465,OLDHAM ,58292.78,School Leadership,75
471,OWEN ,55645.36,School Leadership,53
472,OWENSBORO,62302.0,School Leadership,66
475,OWSLEY ,59120.58,School Leadership,60
476,PADUCAH,64048.69,School Leadership,58
477,PAINTSVILLE,61438.69,School Leadership,68
478,PARIS,57965.27,School Leadership,67
481,PENDLETON ,59417.1,School Leadership,53
485,PERRY ,59355.16,School Leadership,80
491,PIKE ,56130.6,School Leadership,81
492,PIKEVILLE,68340.5,School Leadership,79
495,POWELL ,56051.3,School Leadership,71
501,PULASKI ,54912.32,School Leadership,75
502,RACELAND,59070.2,School Leadership,62
505,ROBERTSON ,54949.19,School Leadership,51
511,ROCKCASTLE ,56018.9,School Leadership,63
515,ROWAN ,55220.04,School Leadership,56
521,RUSSELL ,55834.57,School Leadership,62
522,RUSSELL,62925.14,School Leadership,72
523,RUSSELLVILLE,52722.92,School Leadership,60
524,SCIENCE HILL,59214.44,School Leadership,48
525,SCOTT,58763.22,School Leadership,71
531,SHELBY ,60476.75,School Leadership,65
535,SIMPSON ,61703.46,School Leadership,64
536,SOMERSET,59147.32,School Leadership,74
537,SOUTHGATE,55674.9,School Leadership,72
541,SPENCER ,62282.13,School Leadership,80
545,TAYLOR ,57631.08,School Leadership,67
551,TODD ,53237.8,School Leadership,65
555,TRIGG ,57312.64,School Leadership,74
561,TRIMBLE ,54994.35,School Leadership,59
565,UNION ,55875.91,School Leadership,70
567,WALTON VERONA,62505.41,School Leadership,65
571,WARREN ,58892.91,School Leadership,71
575,WASHINGTON ,64346.29,School Leadership,80
581,WAYNE ,54160.67,School Leadership,57
585,WEBSTER ,53748.45,School Leadership,73
591,WHITLEY ,58899.08,School Leadership,79
593,WILLIAMSTOWN,55892.89,School Leadership,68
595,WOLFE ,60554.68,School Leadership,85
601,WOODFORD ,61145.86,School Leadership,69
